viltext	text
Sisterhood of Mutants	"

''Lady Deathstrike'' (2 copies)
'''Fight''': KO one of your Heroes.
'''Escape''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or gains a Wound.
'''Attack''': 6
'''VP''': 4

''Lady Mastermind'' (1 copy)
'''Ambush''': This Villain ascends to become a new Mastermind. She gains the ability ""Master Strike: Each player simultaneously reveals a non-grey Hero. Lady Mastermind Dominates the revealed Hero with the lowest cost (and tied for lowest.)
'''Attack''': 7+
'''VP''': 5

''Resurrect Madelyne Pryor'' (1 copy)
'''Trap!'''
'''By End of Turn''': You may pay 3 Recruit. If you do, shuffle this Trap back into the Villain Deck, then play a card from the Villain Deck.
'''Or Suffer''': This Trap becomes a Scheme Twist that takes effect immediately.
'''VP''': 0

''Selene'' (2 copies)
'''Ambush''': Selene Dominates all of the 0-cost Heroes from the KO pile.
'''Fight''': KO all the Heroes Dominated by Selene.
'''Escape''': Put one Hero Dominated by Selene into each player's discard pile.
'''Attack''': 3+
'''VP''': 3

''Typhoid Mary'' (2 copies)
'''Ambush''': Each player reveals their hand and chooses a 3-cost Hero from it. Typhoid Mary Dominates those Heroes.
'''Attack''': 3+
'''VP''': 3

"
Token Villains	"

''Animatronic Killer Clown'' (2 copies)
Villain --- Murderworld
'''Ambush''': Animatronic Killer Clown captures a Human Shield.
'''Attack''': 4
'''VP''': 2

''Master Plan'' (1 copy)
Mastermind
'''Master Strike''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or gains a Wound.
'''Attack''': 9
'''VP''': 5

''Phoenix Force'' (1 copy)
Villain --- Hellfire Club
'''Ambush''': Phoenix Force Dominates all of the Heroes in the HQ that cost 6 or less.
'''Attack''': 6
'''VP''': 3

''Shi'ar Battlecruiser'' (5 copies)
Villain --- Shi'ar Imperial Guard
'''Attack''': 7
'''VP''': 5



"
Salvagers	"

''Hybrid Alien Tech'' (2 copies)
'''Striker'''
'''Fight''': KO one of your 0-cost Heroes.
'''Escape''': The current player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or gains a 0-cost Hero from the KO pile.
'''Attack''': 4+
'''VP''': 4

''Shocker #1'' (2 copies)
'''Striker'''
'''Escape''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or discards a card.
'''Attack''': 3+
'''VP''': 3

''Shocker #2'' (2 copies)
'''Ambush''': Each player reveals their hand and discards all cards with the same card name as a card in the HQ.
'''Escape''': ''(After the normal HQ KO for this escaping)'' Same effect.
'''Attack''': 5
'''VP''': 3

''Tinkerer'' (2 copies)
'''Fight''': You get +1 Recruit for each https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero in the HQ.
'''Escape''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or gains a Wound.
'''Attack''': 4
'''VP''': 2

"
Vulture Tech	"

''Chitauri Weapon Assault'' (2 copies)
'''Striker'''
'''Fight''': KO one of your Heroes with a Recruit icon.
'''Escape''': Each player discards a card with a Recruit icon.
'''Attack''': 4+
'''VP''': 4

''High Tech Helmet'' (2 copies)
'''Striker'''
'''Fight''': Danger Sense 3
'''Attack''': 3+
'''VP''': 3

''Razor Talons'' (2 copies)
'''Striker'''
'''Fight''': The next Hero you gain this turn has Wall Crawl.
'''VP''': 2
'''Attack''': 2+

''Turbine Powered'' (2 copies)
'''Striker'''
'''Ambush''': Turbine Powered captures a Bystander. Then move this Villain to the Rooftops. If there's already a Villain there, swap them.
'''Attack''': 5+
'''VP''': 5



"
Monsters Unleashed	"

''Goom'' (1 copy)
'''Ambush''': Goom captures a Bystander.
'''Fight''': KO one of your Heroes.
'''VP''': 4
'''Attack''': 6

''Groot from Planet X'' (1 copy)
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png
'''Fight''': Two Bystanders from the Bystander Stack enter the city as 3 Attack ""Splintered Half-Groot"" Villains. When you fight one, rescue it as a Bystander.
'''Attack''': 6*
'''VP''': 2

''Monsteroso'' (1 copy)
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png
'''Fight''': When you draw a new hand of cards at the end of this turn, draw an extra card.
'''Attack''': 5*
'''VP''': 2

''Orrgo'' (1 copy)
You can't fight Orrgo unless you have already defeated another Villain this turn.
'''Attack''': 2*
'''VP''': 2

''Sporr'' (1 copy)
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Fight''': A Hero in the HQ gains '''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png Recruit this turn.
'''Attack''': 7*
'''VP''': 3

''Tim Boo Ba'' (1 copy)
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Fight''': All Heroes currently in the HQ cost 1 less this turn.
'''Attack''': 12*
'''VP''': 5

''Trull the Unhuman'' (1 copy)
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''Ambush''': Trull captures a Bystander. Then '''Demolish''' each player.
'''Attack''': 8*
'''VP''': 4
[size=8]''Flavor: Why yes, that is an alien entity possessing the world's most terrifying steam shovel.''[/size]

''Zzutak'' (1 copy)
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26285_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png
'''Escape''': '''Demolish''' each player.
'''Attack''': 9*
'''VP''': 5

"
Wrecking Crew	"

''Bulldozer'' (2 copies)
'''Ambush''': Bulldozer moves an extra space forward. If this pushes any Villains forward, '''Demolish''' each player.
'''Attack''': 4
'''VP''': 2

''Piledriver'' (2 copies)
'''Fight''': KO one of your Heroes.
'''Escape''': '''Demolish''' each player.
'''Attack''': 6
'''VP''': 4

''Thunderball'' (2 copies)
'''Fight''': If you fight Thunderball in the Sewers or Bank, '''Demolish''' each other player.
'''Attack''': 5
'''VP''': 3

''The Wrecker'' (2 copies)
'''Ambush''': For each Wrecking Crew Villain in the city, (including this one), '''Demolish''' each player.
'''Attack''': 7
'''VP''': 5



"
Aspects of the Void	"

''Black Anti-Hurricane'' (2 copies)
'''Fight''': Each player simultaneously puts a card from their discard pile into the discard pile of the player to their right.
'''Escape''': Same effect.
'''Attack''': 6
'''VP''': 4

''Demonform'' (1 copy)
'''Fight''': '''Feast'''. If Demonform feasts on a non-grey Hero, gain a Hero from the HQ of that cost or less.
'''Attack''': 7
'''VP''': 5

''Infini-Tendrils'' (2 copy)
'''Wounded Fury'''
'''Ambush''': Infini-Tendrils captures a Bystander.
'''Attack''': 6+
'''VP''': 3

''Psychotic Break'' (1 copy)
'''Trap!'''
'''Ambush''': Play another card from the Villain Deck.
'''By End of Turn''': Defeat a Villain.
'''Or Suffer''': ''(After you draw your new hand)'' Psychotic Break becomes a Master Strike that takes effect immediately.
'''VP''': 2

''Shadow Man'' (2 copies)
'''Fight''': You get +2 Recruit.
'''Attack''': 5
'''VP''': 3
[size=8]''Some briefly think the Shadow Man is the heroic Sentry. The thought doesn't last long.''[/size]

"
Code Red	"

''Caught Red-Handed'' (1 copy)
'''Trap!'''
'''By End of Turn''': Recruit a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or recruit any two Heroes.
'''Or Suffer''': ''(After you draw your new hand)'' Each player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a Wound.
'''VP''': 3

''Crimson Dynamo'' (2 copies)
'''Fight''': Choose a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero in the HQ. It costs 2 less this turn.
'''Attack''': 4
'''VP''': 2

''Elektra, Red Blades'' (2 copies)
'''Fight''': If you played a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero this turn, KO one of your Heroes.
'''Attack''': 5
'''VP''': 3

''Punisher, Red Dot Sniper'' (1 copy)
'''Fight''': Reveal the top card of your deck. If it costs 0, KO it. If it's https://cf.geekdo-static.com/mbs/mb_26283_0.png, draw it.
'''Attack''': 6
'''VP''': 4

''Red She-Hulk'' (1 copy)
'''Wounded Fury'''
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 6+
'''VP''': 5

''Thundra'' (1 copy)
Thundra gets +2 Attack if there are any number of https://cf.geekdo-static.com/mbs/mb_26283_0.png Heroes in the HQ.
'''Ambush''': Put each non-https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero from the HQ on the bottom of the Hero Deck.
'''Attack''': 4+
'''VP''': 3

"
Illuminati	"

''Black Bolt'' (2 copies)
During your turn, any number of times, you may discard a card that has no rules text to give Black Bolt -2 Attack this turn.
'''Escape''': Each player discards a card with no rules text.
'''Attack''': 13*
'''VP''': 5

''Dr. Strange'' (2 copies)
'''Ambush''': Each player who can't '''Outwit''' Dr. Strange discards a card.
'''Attack''': 5
'''VP''': 3

''Dr. Strange, Possessed by Zom'' (1 copy)
This Villain gets +1 Attack for each Bystander in the city.
'''Ambush''': This Villain captures 3 Bystanders.
'''Attack''': 5+
'''VP''': 3

''Enchain the Hulk'' (1 copy)
'''Trap!'''
'''By End of Turn''': Discard two cards of the same Hero Class or recruit two cards of the same Hero Class. (https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png, but not grey)
'''Or Suffer''': ''(After you draw your new hand)'' '''Cross-Dimensional Hulk Rampage'''
'''VP''': 4

''Hulkbuster Iron Man'' (2 copies)
Hulkbuster Iron Man gets +3 Attack unless you '''Outwit''' him.
'''Escape''': '''Cross-Dimensional Illuminati Rampage
'''Attack''': 6+
'''VP''': 4

"
Intelligencia	"

''Battle of Wits'' (2 copies)
'''Trap!'''
'''By the End of the Turn''': '''Outwit''' this trap.
'''Or Suffer''': ''(After you draw your new turn)'' Each player discards down to 4 cards.
'''VP''': 3

''Cosmic Hulk Robot'' (2 copies)
'''Wounded Fury'''
'''Ambush''': Each player who can't '''Outwit''' Cosmic Hulk Robot gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5+
'''VP''': 4

''Doc Samson'' (2 copies)
Doc Samson has +4 Attack unless you '''Outwit''' him.
'''Fight''': KO one of your Heroes.
'''Attack''': 4+
'''VP''': 3

''The Leader, Gamma Fiend'' (2 copies)
'''Ambush''': If you can't '''Outwit''' the Leader, play the top card of the Villain Deck.
'''Fight''': Same effect.
'''Attack''': 5
'''VP''': 3

"
Sakaar Imperial Guard	"

''Gladiators' Colosseum'' (1 copy)
'''Trap!'''
'''By the End of the Turn''': Only play cards from a single Team of your choice this turn (e.g. S.H.I.E.L.D., AVENGERS, X-MEN, WARBOUND, etc.)
'''Or Suffer''': ''(After you draw your new hand)'' Each player reveals their hand, chooses a Team, and discards all cards that don't belong to that Team.
'''VP''': 4

''Great Devil Corker'' (2 copies)
'''Fight''': Look at the top three cards of your deck. Put them back in any order. Then '''Feast'''.
'''Attack''': 6
'''VP''': 4

''Headman Charr'' (2 copies)
During your turn, Headman Charr gets +1 Attack for each Villain in your Victory Pile.
'''Escape''': Each player gains a Wound.
'''Attack''': 2+
'''VP''': 2

''Lieutenant Caiera'' (1 copy)
'''Fight''': If you '''Outwit''' Lieutenant Caiera draw two cards.
'''Attack''': 7
'''VP''': 5

''Primus Vand'' (2 copies)
Primus Vand gets +1 Attack for each Villain next to him.
'''Fight''': KO one of your Heroes.
'''Attack''': 3+
'''VP''': 3

"
U-Foes	"

''Ironclad'' (1 copy)
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero of KO's a Hero that costs 1 or more from their discard pile.
'''Escape''': Same effect.
'''Attack''': 6
'''VP''': 4

''Vapor'' (2 copies)
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 4
'''VP''': 2

''Vector'' (2 copies)
'''Fight''': Each player who reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero draws a card.
'''Attack''': 4
'''VP''': 2

''Unidentified Flying U-Foes'' (1 copy)
'''Trap!'''
'''By End of Turn''': Discard a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or discard three cards.
'''Or Suffer''': Play two extra cards from the Villain Deck next turn.
'''VP''': 3

''X-Ray'' (2 copies)
'''Fight''': Each player who reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero may KO a card from their discard pile.
'''Attack''': 5
'''VP''': 3

"
Warbound	"

''Elloe Kaifi'' (1 copy)
'''Fight''': Draw a card. Another player of your choice also draws a card.
'''Attack''': 5
'''VP''': 3

''Hiroim'' (1 copy)
'''Fight''': KO a card from the HQ. Each player reveals their hand and KO's a card with that same cost.
'''Escape''': Same effect.
'''Attack''': 7
'''VP''': 5

''Korg'' (1 copy)
'''Ambush''': KO a Hero from the HQ. Each player reveals their hand and discards a card with that same cost.
'''Escape''': Same effect.
'''Attack''': 6
'''VP''': 4

''Miek The Unhived'' (2 copies)
'''Fight''': Look at the top two cards of your deck. Put them back on the top and/or bottom. Then '''Feast'''.
'''Attack''': 5
'''VP''': 3

''No-Name, Brood Queen'' (2 copies)
'''Wounded Fury'''
'''Fight''': '''Feast'''. If this feasts on a non-grey Hero, draw two cards.
'''Attack''': 4+
'''VP''': 3

''Warbound Rescue'' (1 copy)
'''Trap!'''
'''By End of Turn''': Put a Warbound Villain and Henchman Villain from your Victory Pile back into the city.
'''Or Suffer''': Each player gains a Wound.
'''VP''': 7



"
Ultron's Legacy	"

''Ultron Roboticks'' (1 copy)
'''Microscopic Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''Fight''': KO one of your Heroes.
'''Attack''': 3*
'''VP''': 2

''Original Ultron-1'' (1 copy)
'''Empowered''' by https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Fight''': KO one of your Heroes.
'''Attack''': 3+
'''VP''': 2

''Legions of Ultron'' (1 copy)
'''Empowered''' by https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''Fight''': Draw a card.
'''Attack''': 4+
'''VP''': 3

''Alkhema'' (1 copy)
'''Empowered''' by https://cf.geekdo-static.com/mbs/mb_26284_0.png
'''Fight''': KO a card from your discard pile.
'''Attack''': 4+
'''VP''': 3

''Ultron-Pym'' (1 copy)
'''Microscopic Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''Fight''': A Hero in the HQ with no '''Size-Changing''' abilites gains '''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26287_0.png this turn.
'''Attack''': 6*
'''VP''': 3

''Future Ultron Prime'' (1 copy)
'''Double Empowered''' by https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''Ambush''': Put all non-https://cf.geekdo-static.com/mbs/mb_26287_0.png Heroes from the HQ on the bottom of the Hero Deck.
'''Attack''': 5+
'''VP''': 5

''Brutish Ultron-14'' (1 copy)
'''Empowered''' by https://cf.geekdo-static.com/mbs/mb_26286_0.png
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5+
'''VP''': 4

''Crimson Cowl'' (1 copy)
'''Empowered''' by https://cf.geekdo-static.com/mbs/mb_26283_0.png
'''Ambush''': Crimson Cowl captures a Bystander.
'''Attack''': 5+
'''VP''': 4

"
Queen's Vengeance	"

''Daystar'' (1 copy)
'''Microscopic Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26285_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Fight''': Reveal the top card of your deck. You may KO it.
'''Attack''': 5*
'''VP''': 2

''Blackbird'' (1 copy)
'''Chivalrous Duel'''
'''Fight''': KO one of your Heroes.
'''Attack''': 3*
'''VP''': 3

''Gigantus'' (1 copy)
'''Microscopic Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26286_0.png
'''Fight''': KO one of your Heroes.
'''Attack''': 7*
'''VP''': 4

''Iron Knight'' (1 copy)
'''Chivalrous Duel'''
'''Escape''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or gains a Wound.
'''Attack''': 4*
'''VP''': 4

''Yoeman America'' (1 copy)
'''Chivalrous Duel'''
'''Fight''': You get +1 Recruit for each color of Hero you have (including grey).
'''Attack''': 5*
'''VP''': 5

''Star-Knight'' (1 copy)
'''Chivalrous Duel'''
'''Fight''': KO a card from your discard pile.
'''Attack''': 3*
'''VP''': 3

''Pixie'' (1 copy)
'''Microscopic Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png.
'''Fight''': Reveal a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or play another card from the Villain Deck.
'''Attack''': 3*
'''VP''': 2

''Mordred the Evil'' (1 copy)
'''Fight''': Choose a card in your discard pile. The player to your right gains it.
'''Escape''': Each player simultaneously does that same effect.
'''Attack''': 5
'''VP''': 3



"
Life Foundation	"

''Agony'' (1 copy)
'''Ambush''': Reveal the top three cards of the Villain Deck. A Villain you revealed '''Symbiote Bonds''' with Agony. Put the rest back in any order.
'''Escape''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png  Hero or gains a Wound.
'''Attack''': 3
'''VP''': 3

''Dr. Carlton Drake'' (1 copy)
'''Fight''': Each https://cf.geekdo-static.com/mbs/mb_26284_0.png and https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero currently in the HQ costs 1 less this turn.
'''Attack''': 5
'''VP''': 3

''Lasher'' (2 copies)
'''Ambush''': A Henchman Villain from your Victory Pile '''Symbiote Bonds''' with Lasher.
'''Attack''': 2
'''VP''': 2

''Phage'' (1 copy)
'''Ambush''': A Villain from the Escape Pile or your Victory Pile '''Symbiote Bonds''' with Phage.
'''Attack''': 3
'''VP''': 3

''Riot'' (2 copies)
'''Ambush''': Reveal the top card of the Villain Deck. If it's a Villain, it '''Symbiote Bonds''' with Riot.
'''Fight''': KO one of your Heroes.
'''Attack''': 2
'''VP''': 2

''Scream'' (1 copy)
'''Ambush''': Reveal the top card of the Villain Deck. If it's a Henchman or Life Foundation Villain, it '''Symbiote Bonds''' with Scream.
'''Attack''': 4
'''VP''': 4

"
Poisons	"

''Poison Captain America'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with another Villain in the city. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 4
---
https://cf.geekdo-static.com/mbs/mb_26284_0.png
You get +1 Attack for each color of Hero you have. (including https://cf.geekdo-static.com/mbs/mb_26284_0.png and grey)
'''Attack''': 0+


''Poison Dr. Octopus'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with a Villain in the Bank. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 3
---
https://cf.geekdo-static.com/mbs/mb_26287_0.png
Draw a card.
'''Attack''': 1

''Poison Hulk'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with a Henchman Villain in the city. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 5
---
https://cf.geekdo-static.com/mbs/mb_26286_0.png
https://cf.geekdo-static.com/mbs/mb_26286_0.png: You get +2 Attack.
'''Attack''': 2+


''Poison Sabretooth'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with a Villain in the Streets. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 4
---
https://cf.geekdo-static.com/mbs/mb_26284_0.png
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Look at the top card of your deck. You may KO it.
'''Attack''': 2

''Poison Scarlet Witch'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with another Villain in the city with an odd-numbered Attack. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 3
---
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Reveal the top card of your deck. If it has an odd-numbered cost, draw it. (0 is even.)
'''Attack''': 2

''Poison Spider-Man'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with another Villain in the city. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 2
---
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Reveal the top card of your deck. If it costs 2 or less, draw it.
'''Attack''': 2

''Poison Storm'' (1 copy)
'''Fight''': This '''Symbiote Bonds''' with a Villain on the Rooftops or Bridge. If already bonded or unable to bond, gain this as a Hero instead.
'''Attack''': 3
---
https://cf.geekdo-static.com/mbs/mb_26285_0.png
https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +2 Attack usable only against the Mastermind.
'''Attack''': 2+

''Symbiotic Armor'' (1 copy)
'''Ambush''': This Symbiote Bonds with the Mastermind. When you fight the Mastermind, defeat Symbiotic Armor and KO one of your Heroes instead of taking a Tactic.
'''Attack''': 1
'''VP''': 6


"
Army of Evil	"

''Blackout'' (2 copies)
'''Ambush''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or discards a card.
'''Fight''': Draw two cards.
'''Attack''': 4
'''VP''': 2

''Count Nefaria'' (1 copy)
'''Ambush''': All players reveal their hands. Unless all those revealed cards together include https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, and https://cf.geekdo-static.com/mbs/mb_26285_0.png Heroes, each player gains a Wound.
'''Escape''': Same Effect.
'''Attack''': 7
'''VP''': 5

''Dome of Darkforce'' (1 copy)
'''Location'''
Whenever you fight a Villain here, each other player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or discards a card.
'''Fight''': Draw two cards.
'''Attack''': 7
'''VP''': 5

''Klaw'' (2 copies)
'''Ambush''': Klaw captures a https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero that costs 5 or less from the HQ.
'''Fight''': Gain that Hero.
'''Attack''': 5
'''VP''': 3

''Mister Hyde'' (2 copies)
While in the Bank or Streets, this card's name is ""Dr. Calvin Zabo"", and you must spend Recruit to fight him instead of Attack.
'''Fight''': KO one of your Heroes.
'''Attack''': 6*
'''VP''': 4

"
Dark Avengers	"

''Ares'' (1 copy)
'''Last Stand'''
'''Fight''': KO one of your Heroes.
'''Attack''': 6+
'''VP''': 6

''Captain Marvel (Noh-Varr)'' (1 copy)
'''Last Stand'''
'''Ambush''': If any other Dark Avengers are in the city, each player gains a Wound.
'''Escape''': Same effect.
'''Attack''': 3+
'''VP''': 3

''Dark Hawkeye (Bullseye)'' (1 copy)
'''Last Stand'''
'''Fight''': KO one of your Heroes. Then choose one:
- Each other player Kos one of their Heroes.
- Each other player gains a 0-cost Hero from the KO pile.
'''Attack''': 4+
'''VP''': 4

''Dark Ms. Marvel (Moonstone)'' (1 copy)
'''Last Stand'''
'''Fight''': Each other player discards two cards then draws a card.
'''Attack''': 4+
'''VP''': 4

''Dark Spider-Man (Scorpion)'' (1 copy)
'''Double Last Stand'''
'''Fight''': Reveal the top two cards of your deck. KO one of them that costs 2 or less. Put the rest back in any order.
'''Attack''': 2+
'''VP''': 2

''Dark Wolverine (Daken)'' (1 copy)
'''Last Stand'''
'''Ambush''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or gains a Wound.
'''Escape''': Same effect, then shuffle Dark Wolverine back into the Villain Deck.
'''Attack''': 5+
'''VP''': 5

''Sentry'' (1 copy)
While in the Bank or Streets, this card's name is ""The Void"", it gets +5 Attack, and it gets
""'''Fight''': KO up to two cards from your discard pile.""
'''Escape''': Each player gains a Wound.
'''Attack''': 7+
'''VP''': 5

''Sentry's Watchtower'' (1 copy)
'''Location'''
Villains here get '''Last Stand'''. (Villains who already have it get the bonus again.)
'''Fight''': You gain the Hero in the HQ space under this.
'''Attack''': 8
'''VP''': 5

"
Hood's Gang	"

''Cancer'' (2 copies)
'''Dark Memories'''
'''Ambush''': Each player that has any cards in their discard pile gains a Wound.
'''Escape''': Same effect.
'''Attack''': 3+
'''VP''': 2

''Chemistro'' (2 copies)
'''Dark Memories'''
'''Fight''': Exchange a card you played this turn with a card in the HQ that has the same or lower cost. (The card you gained goes to your discard pile.)
'''Attack''': 4+
'''VP''': 3

''Madam Masque'' (2 copies)
'''Dark Memories'''
'''Ambush''': Guess Villain, Bystander, Strike, or Twist. Then reveal the top card of the Villain Deck. If you guessed wrong, play that card.
'''Fight''': KO one of your Heroes.
'''Attack''': 5+
'''VP''': 4

''The Brothers Grimm'' (1 copy)
To fight The Brothers Grimm, you must also discard two identical cards.
'''Fight''': You may KO a card from your discard pile.
'''Attack''': 2*
'''VP''': 2

''The Dark Dimension'' (1 copy)
'''Location'''
Villains here get '''Dark Memories'''. (Villains who already have it get the bonus again.)
'''Fight''': Take another turn after this one.
'''Attack''': 9
'''VP''': 5

"
