Name	MM	Epic	T	Set	LeadsV	LeadsH	VP	BP	B	R	G	Y	S	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	PL	Effect/Master Strike	OtherEffects	NOTE	file	loc	id	keywords	seq
Rescue from Limbo	Belasco, Demon Lord of Limbo			NM																		Exchange for KO'd hero.			newmutants,png	10 4	Belasco, Demon Lord of Limbo	""	373
Magus				ITC		Universal Church of Truth	6	9								2			1					shards	magus,jpg	1	Magus	Shard	374
Magus		1		ITC		Universal Church of Truth	6	11								2			2					shards	emagus,jpg	1	Magus	""	375
Seize Cosmic Power	Magus			ITC																				shards	itcmm,png	2 2	Magus	Shard	376
Dark Side of Adam Warlock	Magus			ITC						1														shards	itcmm,png	1 2	Magus	Shard	377
Resurrected as the Child Magus	Magus			ITC																				shards	itcmm,png	10 1	Magus	Shard	378
Conjured Shade of Thanos	Magus			ITC																1				shards	itcmm,png	9 1	Magus	Shard	379
The Grandmaster				ITC	Elders of the Universe		6	10								1									gm,jpg	1	The Grandmaster	Contest of Champions|Shard	380
The Grandmaster		1		ITC	Elders of the Universe		6	11								1									egm,jpg	1	The Grandmaster	""	381
Deal with Death	The Grandmaster			ITC						1							1								itcmm,png	7 1	The Grandmaster	Contest of Champions|Shard	382
Galactic Marathon	The Grandmaster			ITC								1													itcmm,png	6 1	The Grandmaster	Contest of Champions|Shard	383
Cheat against Thanos	The Grandmaster			ITC					1									1		1					itcmm,png	5 1	The Grandmaster	Contest of Champions|Shard	384
Match Offenders vs. Defenders	The Grandmaster			ITC							1														itcmm,png	8 1	The Grandmaster	Contest of Champions|Shard	385
The Beyonder				ITC	From Beyond		7	21																	beyon,jpg	1	The Beyonder	Cosmic Threat	386
The Beyonder		1		ITC	From Beyond		7	24																	ebeyon,jpg	1	The Beyonder	""	387
Playthings of a Petulant God	The Beyonder			ITC													1						cosmic threat for cost >4		itcmm,png	4 1	The Beyonder	""	388
Dimensional Collapse	The Beyonder			ITC																			cosmic threat for cost >5		itcmm,png	3 1	The Beyonder	""	389
Create the Secret Wars	The Beyonder			ITC												1									itcmm,png	2 1	The Beyonder	Contest of Champions	390
Pull Earth into the Beyond	The Beyonder			ITC																1					itcmm,png	1 1	The Beyonder	""	391
Emperor Vulcan of the Shi'ar				ROK	Shi'ar Imperial Elite		6	10														Throne's favor			vulcan,jpg	1	Emperor Vulcan of the Shi'ar	Throne's Favor	392
Emperor Vulcan of the Shi'ar		1		ROK	Shi'ar Imperial Elite		6	12														Throne's favor			evulcan,jpg	1	Emperor Vulcan of the Shi'ar	""	393
Contempt for Weakness	Emperor Vulcan of the Shi'ar			ROK																		Throne's favor			vulcantactics,jpg	NW	Emperor Vulcan of the Shi'ar	Throne's Favor	394
Solar Cage	Emperor Vulcan of the Shi'ar			ROK												1						Throne's favor			vulcantactics,jpg	NE	Emperor Vulcan of the Shi'ar	Throne's Favor	395
Blast every form of energy	Emperor Vulcan of the Shi'ar			ROK																		Throne's favor			vulcantactics,jpg	SW	Emperor Vulcan of the Shi'ar	Throne's Favor	396
Vast wealth of the Shi'ar	Emperor Vulcan of the Shi'ar			ROK																		Throne's favor			vulcantactics,jpg	SE	Emperor Vulcan of the Shi'ar	Throne's Favor	397
Maximus the Mad				ROK	Inhuman Rebellion		6	8																	max,jpg	1	Maximus the Mad	Abomination	398
Maximus the Mad		1		ROK	Inhuman Rebellion		6	9																	emax,jpg	1	Maximus the Mad	""	399
Seize the inhuman throne	Maximus the Mad			ROK																					maxtactics,jpg	NW	Maximus the Mad	Throne's Favor	400
Terrigen bomb	Maximus the Mad			ROK													1								maxtactics,jpg	NE	Maximus the Mad	Throne's Favor	401
Echo-tech chorus sentries	Maximus the Mad			ROK												1	1								maxtactics,jpg	SW	Maximus the Mad	""	402
Sieve of secrets	Maximus the Mad			ROK																					maxtactics,jpg	SE	Maximus the Mad	""	403
